,Better Diets and Nutrition.pdf,Breeding For Tomorrow.pdf,Capacity Sharing.pdf,Climate Action.pdf,Digital Transformation.pdf,Food Frontiers and Security.pdf,Gender Equality and Inclusion.pdf,Genebanks.pdf,Multifunctional Landscapes.pdf,Policy Innovations.pdf,Scaling for Impact.pdf,Sustainable Animal and Aquatic Foods.pdf,Sustainable Farming.pdf
A-2024-17,0.32626867,0.3567708,0.44707915,0.44958326,0.28394365,0.4000211,0.32071975,0.2678533,0.38548955,0.53081053,0.4466369,0.4200016,0.40865687
A-2023-108,0.3033752,0.34313324,0.4068135,0.4171899,0.27343145,0.38427207,0.30008826,0.27059576,0.31712863,0.48544285,0.38211393,0.3594167,0.40357998
R-A-2019-12-PhotoBoost,0.28465423,0.24704368,0.26982164,0.2321224,0.20278974,0.20842679,0.18898664,0.292608,0.22402489,0.2590392,0.21606795,0.25596857,0.26468432
R-A-2022-121-PADCAE-B,0.4000663,0.42529562,0.44531175,0.4546501,0.24992424,0.5867389,0.32543808,0.3729428,0.5057612,0.5001686,0.42567557,0.48420674,0.56746423
R-A-2020-107-NARVI,0.2182301,0.39670768,0.35884786,0.20077991,0.17652091,0.29894936,0.210785,0.35998988,0.2254598,0.20167701,0.22793655,0.23221202,0.32604608
 R-A-2023-113-ClimateSmartPestManagement,0.32150447,0.41404462,0.41280928,0.32807785,0.30129033,0.38026518,0.23168272,0.3700067,0.32376683,0.42234075,0.33090666,0.3191417,0.50951004
R-A-2023-94-Developing a rice straw-based organic fertilizer,0.3856027,0.42453122,0.39477646,0.34749526,0.23122719,0.38751125,0.2372915,0.3475468,0.36707202,0.40189403,0.39203095,0.3906833,0.49551192
R-A-2020-137-BroadSpectrum-Ph2,-0.010453438,-0.008778536,0.02761988,0.057928097,0.042281274,-0.0065186396,-0.015079534,0.08650435,0.10935882,0.03835254,-0.004614914,0.05129947,0.034729384
A-2024-12,0.39780533,0.40458855,0.39549682,0.25724265,0.15769693,0.319875,0.2236818,0.35198134,0.34222287,0.26653287,0.3301723,0.3745617,0.49642
R-A-2022-32-IFRS Conversion (BLR),-0.058512963,-0.015379968,-0.013799456,0.0060690157,0.029512906,0.0025817459,-0.020894414,0.07294333,0.006687421,-0.04725449,-0.027536089,-0.026718955,0.007889249
A-2019-189,0.40229887,0.43525082,0.40372518,0.2643988,0.20393564,0.5045349,0.32230788,0.33336082,0.365831,0.3592226,0.3050698,0.40551662,0.49772158
R-A-2023-80-AMF,-0.047338955,0.024046099,0.005799271,0.045744456,0.04634334,0.031367555,0.06969251,0.028505465,0.078649364,0.0005728085,-0.005838857,0.042981025,0.06917821
R-A-2023-32-Drought Dynamics,0.0666947,0.20770152,0.16328393,0.3025879,0.11819771,0.15381119,0.14775199,0.22573827,0.27285206,0.22629783,0.13615483,0.17790478,0.30468455
R-A-2019-18-ClimateSmart Rice-DANIDA,0.27136892,0.3303535,0.16347955,0.20507203,0.07080139,0.2699957,0.103830665,0.26265842,0.22098358,0.18476652,0.072878934,0.25989866,0.32269183
R-A-2022-61-RIICE,-0.021773914,0.031485103,-0.00028945948,-0.037191376,0.021138579,0.022756226,0.055388104,0.0043303524,0.032715797,-0.032035116,0.0028344456,0.049610328,0.038514096
A-2022-56,0.18922848,0.23720446,0.33096948,0.3474723,0.19681576,0.28766456,0.2039484,0.16992159,0.25682965,0.39209366,0.29875517,0.30971155,0.22030666
R-A-2021-38-NutritousRice,0.13443847,0.119881496,0.021229167,0.008824571,0.0053402893,0.12351543,0.020762453,0.047748532,0.08455512,0.0056335903,-0.00057484536,0.094509445,0.13498425
A-2021-60-Odisha Precision DSR,0.42111975,0.50744563,0.49202952,0.40029407,0.38061708,0.42356545,0.31243363,0.4322909,0.42656872,0.5117924,0.5060462,0.37685713,0.57041085
R-A-2023-47-Nano-fertilizer in UP and Assam,0.11700689,0.22055481,0.14348844,0.14263181,0.0520672,0.15939476,0.10357186,0.15429296,0.20223987,0.14439307,0.08886391,0.1687821,0.2760512
R-A-2022-127-MAB Phase5,-0.045256477,0.08359236,-0.0061797164,0.037954845,0.050298184,0.036854364,0.04579817,0.06407138,0.06566946,-0.011132349,-0.042555988,0.013042765,0.04686989
R-A-2023-7-CRISP,0.027364213,0.12593922,-0.021185867,0.028557634,-0.0067561814,0.05750722,-0.03136597,0.039262038,0.058853846,0.014237641,-0.025707772,0.051791646,0.058522902
R-A-2021-110-Genomics Adaptation,0.090276204,0.21866237,0.0969634,0.11181507,0.16800557,0.15162854,0.1269284,0.41961202,0.18756597,0.093490444,0.10855737,0.105926834,0.17704749
R-A-2020-36-YARACollab,-0.047682025,0.061901305,-0.026006049,-0.025251007,0.009022492,-0.01671499,-1.8547895e-06,0.05837757,0.053381857,-0.047941137,-0.041791506,0.02809426,0.010736118
R-A-2022-87-Hermetic Technology Rice,0.13225883,0.19589587,0.1626718,0.052120812,0.15025273,0.16165006,0.10635125,0.15866427,0.14324659,0.12329052,0.07902194,0.17197381,0.26862895
R-A-2017-157-Provisia Rice Development License Agreement,0.17625001,0.2855793,0.25749996,0.16802064,0.14900674,0.24675238,0.10929493,0.30587178,0.2572829,0.2209858,0.20270693,0.21065561,0.29183578
R-A-2018-144-ClearfieldRiceDevelopment,-0.11182731,0.07167862,0.04780772,-0.022780193,0.09209663,-0.022932714,-0.0024599584,0.077104695,0.05897589,-0.030637315,0.034712322,0.019743562,0.04618438
R-A-2018-180-B4R-Licensing,0.018641198,0.0971413,0.11498238,0.064127095,0.1574712,0.062302295,0.056948166,0.16049175,0.10377833,0.049903806,0.07160394,0.08918879,0.07269575
R-A-2020-135-LTARI,-0.06923902,0.022402845,-0.016792845,0.04776835,0.042810325,0.027471153,0.054919712,0.012608327,0.04518194,-0.030947203,-0.039804403,0.048364256,0.021031024
R-A-2022-75-Carbon Farming - Odisha,0.20233895,0.246299,0.30347472,0.30002594,0.15475254,0.2810668,0.20187728,0.20153902,0.31812233,0.2779076,0.22997297,0.3032905,0.34925655
P-1568-WBS0-Developing Local Seed Potato Production System i,0.14621013,0.37934732,0.2371286,0.045797013,0.09003112,0.124729365,0.05158143,0.29212815,0.099246584,0.13902372,0.15979931,0.11866948,0.25216812
1470-USAI,0.5363867,0.49775547,0.41142812,0.39933306,0.22447075,0.46450934,0.33556905,0.41546807,0.4407454,0.36429045,0.3687837,0.4739917,0.55705255
P-1490-DFAT-Generating Revenues and Opportunities for Women,0.5841062,0.5414421,0.4532451,0.4008277,0.31297305,0.5647118,0.44089255,0.4433021,0.47892627,0.3602037,0.4066594,0.5428236,0.554561
1523-BMGF  RTB Breeding Investment,0.305264,0.6449072,0.357425,0.23957323,0.1351252,0.3569174,0.20874602,0.5199274,0.36224318,0.26868248,0.2725039,0.28381187,0.4039814
1525-CIMM  CtEH-26: A Global Breeding Analytics Unit to accelerate the delivery of superior genetic gains on farmer’s fields,0.44063845,0.69493747,0.55241656,0.4137652,0.299708,0.49372396,0.34212452,0.56317085,0.43488377,0.40512037,0.3820454,0.42453384,0.5864289
1078-CHI0  Supporting preparation work of CCCAP in China,0.19068609,0.12503555,0.36647552,0.26626268,0.2474827,0.31873304,0.2986094,0.16657954,0.13836633,0.2841657,0.29418543,0.2537018,0.20280662
P-1520-GOO0-Sustainable Intensification of Potato for Achiev,0.3086813,0.46401477,0.4148097,0.27196807,0.21196169,0.3166146,0.2207283,0.34420428,0.32658678,0.3669513,0.33883572,0.2714194,0.46187675
P-1527-USAI-Emergency and livelihood recovery support throug,0.5203115,0.48466063,0.43209398,0.4043729,0.26953265,0.5606927,0.32229263,0.4142274,0.4151159,0.43624675,0.3802435,0.45977983,0.6036187
P-1530-GIZ0-Construction and implementation of a new Cryoban,0.3580468,0.5379698,0.36999142,0.288653,0.17771822,0.37800083,0.2221607,0.5283615,0.33553112,0.30039155,0.26663068,0.28337595,0.4310351
P-1505-USAI-Tools4SeedSystems: working towards resilience th,0.40131727,0.49423742,0.4171673,0.44003156,0.3725775,0.5770144,0.295641,0.4838539,0.45814013,0.47644323,0.42768285,0.42144546,0.5918058
P-1464-USAI-Feed the Future Global Biotech Potato Partnershi,0.33675018,0.5249833,0.43992808,0.2623752,0.24719456,0.40272513,0.17299066,0.5347973,0.3365568,0.36459804,0.34809005,0.3305215,0.4236365
P-1560-DGUL-Andean Crop Diversity for Climate Change,0.49069357,0.62698054,0.512007,0.51447815,0.31632072,0.52897817,0.35780326,0.6119588,0.6041721,0.50813466,0.41161534,0.4472197,0.6439439
1414-EC00 DESIRA,0.46286905,0.4589441,0.5043617,0.46009886,0.34984505,0.517215,0.3322741,0.39293236,0.47487593,0.56434244,0.4717999,0.46760052,0.5538199
1513-USAI  Enhancing Uptake of Improved Potato Varieties through Quality Seed Potato Production and Delivery Mechanisms in Rwanda,0.45205942,0.5078036,0.4173704,0.3059955,0.24188966,0.49795872,0.24362266,0.40518907,0.3436351,0.4237365,0.32720444,0.3906375,0.45171878
P-1529-UNGP-Technical Assistance for Sweetpotato processing,0.367385,0.41948557,0.35677043,0.29297578,0.19359806,0.39404687,0.25525993,0.32387358,0.33595815,0.3116457,0.27403978,0.3746379,0.42784777
"1572-MIPO  Impulsando la Agroindustria Rural y el Uso de la Diversidad del Yacón conservada en Pataz y CIP, a través de la Bioeconomía y los Alimentos Funcionales",0.31529197,0.3439516,0.32847136,0.14995638,0.12532476,0.30207402,0.17818786,0.2975532,0.33339256,0.25429696,0.27382213,0.34681845,0.32431215
1585-IITA  Accelerated Innovation Delivery Initiative (AID-I) Mozambique,0.4896417,0.4386535,0.5160144,0.34878913,0.33554733,0.5174317,0.36962917,0.35523462,0.3842867,0.50810355,0.4641891,0.478737,0.48039338
1517-CIMM  Sustainable Agrifood Systems Approach for Sudan program (SASAS),0.57982755,0.579777,0.55250835,0.44059432,0.3254899,0.6146447,0.42853963,0.49657306,0.5713287,0.5147742,0.53277,0.5904685,0.6591299
1475-GIZ0  Potato production through zero-tillage with straw mulch: an innovative technology for sustainable intensification and diversification of rice-based systems to improve livelihoods of small-scale farmers in Asia,0.2318074,0.30362314,0.22479257,0.16460244,0.09189504,0.24966471,0.10725202,0.22911428,0.2511664,0.2092333,0.18212616,0.20604873,0.3795449
"1571-FAO0 - Youth, Citizen Science and E-commerce: scaling integrated conservation solutions and farmers’ rights by connecting key diversity hotspots: Bolivia, Chile, and Peru",0.33814725,0.5399251,0.48574352,0.4069449,0.30282658,0.4292727,0.38621998,0.6002183,0.52498275,0.3668289,0.3876294,0.44795838,0.50852334
1532-IAI0  Market-led Transformation of the Root and Tuber Crops Subsector in Malawi (RTC-MARKET) programme,0.35871392,0.4259606,0.3607341,0.2313011,0.15558061,0.35813752,0.18290493,0.37197566,0.28772923,0.30537203,0.29330778,0.3421318,0.36479864
1515-IITA  Program for Seed System Innovations for Vegetatively Propagated Crops in Africa (PROSSIVA),0.4032453,0.6106722,0.41666606,0.27681616,0.23287545,0.43796167,0.25809222,0.47215018,0.36047736,0.36672473,0.38307062,0.36840215,0.44823784
P-1559-GOO0-Establishment and Operation of Aeroponics Facility,0.20383656,0.36075443,0.28672343,0.13071868,0.04772883,0.21483491,0.1066489,0.26993906,0.21066925,0.22018394,0.21997578,0.18279418,0.34770554
P-1566-PSU0-Current and Emerging Threats to Crops Innovation,0.20223096,0.39702147,0.27261806,0.18659121,0.17736878,0.33833456,0.15987049,0.44255033,0.26693425,0.25105622,0.21519051,0.20371626,0.40373802
P-1557-IPGR-Evidence from Rural Peru (Go Digital PERU),0.35581324,0.38407224,0.4061668,0.3181356,0.32801598,0.3261503,0.2982254,0.405178,0.305464,0.29602346,0.3805267,0.35832,0.44573438
P-1519-TRIP-Better Seed Production of Potato through Apical,0.067112625,0.30982605,0.14397138,-0.024383746,0.037398424,0.058984853,-0.019804586,0.22202154,0.0730352,0.066216975,0.07224085,0.029635988,0.15908599
P-1540-IITA-TAAT Phase 2,0.3817094,0.44067177,0.5014737,0.513303,0.32338265,0.51435447,0.3450656,0.36926746,0.48282686,0.5357635,0.4278123,0.42512605,0.5820834
P-1565-MFO0-Andean Insights and Narrative: Agrobiodiversity,0.33834657,0.53626597,0.4056419,0.3424907,0.2626761,0.37701923,0.29254988,0.51447207,0.4918968,0.36845785,0.39212978,0.33806592,0.485891
P-1491-DGH0-Making Haryana a potato seed hub through the See,0.32847574,0.5692136,0.3606644,0.24315995,0.09968249,0.34519634,0.123200275,0.37154645,0.3089645,0.29270458,0.25096756,0.26783496,0.4866295
P-1547-MAP0-Fortalecimiento de la conservación y uso sosteni,0.17463233,0.36486,0.30979675,0.14767087,0.08375663,0.22675015,0.09983091,0.40051383,0.26170635,0.17187844,0.19817942,0.14840037,0.35896426
P-1539-MAP0-Identificación de genes de local adaptación fren,0.2004619,0.35769182,0.20444967,0.18802702,0.091375686,0.22422719,0.10905745,0.4621611,0.23879111,0.16492969,0.11539597,0.16112746,0.31679296
P-1549-MAP0-Mejoramiento de la productividad y calidad culinaria e industrial de camote,0.29570532,0.37411729,0.28181592,0.10686354,0.093996845,0.26079035,0.07137592,0.3146579,0.19882494,0.19246294,0.1979918,0.22598712,0.33303833
P-1550-MAP0-Restauración de ecosistemas altoandinos en cabeceras de cuenca para la seguridad hídrica y servicios ecosistémicos multiuso,0.36224887,0.33078519,0.37726316,0.36446613,0.22460319,0.39091042,0.25186428,0.3579506,0.5231725,0.39765984,0.37220898,0.39887,0.4924119
P-1552-IMZA-Innovation of excellent potato germplasm and bre,0.20018846,0.3962516,0.24558318,0.12602879,0.06718309,0.2182911,0.10703743,0.38152784,0.19506899,0.1606932,0.101626195,0.14234987,0.27471277
P-1534-MBMA-MBMA Phase II,0.31429312,0.51520723,0.40929848,0.30770153,0.25224864,0.39316836,0.22751467,0.44286922,0.38426775,0.3836599,0.33615,0.3152696,0.5081174
P-1538-ACIA-ASEAN - CGIAR Innovate for Food Regional Program,0.47221285,0.28430155,0.41136396,0.29575774,0.1913589,0.50435454,0.22986841,0.24645476,0.26643097,0.4223036,0.32266402,0.4361175,0.38408515
P-1510-GCDT-Darwin Initiative - Sweetpotato a model for food,0.3213118,0.40204287,0.29821348,0.2874834,0.19249494,0.36352393,0.1687079,0.5126464,0.38304964,0.27941373,0.20221777,0.34198588,0.3963594
P-1531-CWM0-Social Diffusion of Sweetpotato Seed Storage Tec,0.35390761,0.48240897,0.44583148,0.27807254,0.2788323,0.3770203,0.23287743,0.444613,0.29555437,0.36029205,0.36664408,0.3337919,0.48761776
P-1509-HNC0-Potato Sweet Potato Modern Seed Industry Resourc,0.18622862,0.42222217,0.15658763,0.02990276,0.022909643,0.15885597,0.021514222,0.3656578,0.13891457,0.094946556,0.05143555,0.074694864,0.22601132
P-1533-ECIT-Asesoramiento en Sistemas de control de Adiós Ma,0.21785747,0.27133584,0.18926887,0.108288296,0.09817151,0.2721354,0.063336395,0.24471143,0.13288626,0.14880343,0.11021391,0.1853385,0.25857806
P-1543-HHGE-Hulunbuir Huasheng Green Ecological Agriculture,0.15273033,0.38259298,0.19033246,0.023920193,0.0006735988,0.14509793,0.08449292,0.33649245,0.09626255,0.09587923,0.06958,0.05175699,0.1943705
P-1542-PGAT-CCCAP Consultancy Agreement - Green Perennial,0.16596891,0.37851676,0.2644031,0.12779103,0.07543971,0.22615507,0.091979064,0.29601705,0.19482628,0.14705381,0.1889517,0.12911773,0.26753774
M-V0145-Sustainable AgriFood Systems Approach for Sudan - SA,0.4612669,0.46510333,0.45251897,0.37315014,0.284339,0.5506304,0.3448101,0.44720438,0.4650267,0.48316407,0.45420787,0.5060731,0.5738701
M-A1172Crops to End Hunger,0.46541643,0.6256372,0.5390892,0.35025197,0.23618937,0.49943,0.31837475,0.5463754,0.47972924,0.37763694,0.3667987,0.4040856,0.6200812
M-R0223-Mining useful alleles for climate change adaptation,0.26168862,0.5193979,0.3421152,0.33361253,0.21101514,0.2928907,0.27129376,0.5868786,0.38130552,0.25827068,0.23976327,0.26285127,0.39429444
M-D0006-VACS Crop Improvement Coalition,0.4488586,0.52883166,0.48256806,0.4210017,0.2506073,0.49866322,0.2824851,0.47232017,0.5093584,0.47577885,0.43504962,0.42570022,0.6066745
M-R0218-Accelerating Genetic Gains in Maize & Wheat (DFID-DF,0.2603901,0.5193245,0.25144002,0.22637051,0.12646015,0.28212076,0.16791664,0.4544494,0.32238868,0.22453848,0.18559897,0.18954428,0.3561401
M-V0146-AID-I : Southern Africa,0.35418537,0.4465947,0.52791,0.391421,0.38135904,0.4482716,0.37295315,0.37510484,0.43318653,0.51066154,0.51699805,0.37169662,0.50881994
M-W0500-Verify global potential of biologic. Nitrific. inhib,0.17150526,0.29475284,0.2079301,0.11594746,0.04241567,0.17058447,0.07848283,0.35602874,0.20282382,0.12496887,0.1367599,0.14269033,0.28705028
M-V0215 VACS Capacity,0.378479,0.47713503,0.53926164,0.34889024,0.27731618,0.42209312,0.30930853,0.40997216,0.3861703,0.35838357,0.38160256,0.38662162,0.46389163
M-M0377-VACS Quick Wins Project,0.30296364,0.44455075,0.36818922,0.24359307,0.15737297,0.31875268,0.13409713,0.35184956,0.3536283,0.26794168,0.24952899,0.2891023,0.41861966
M-R0235-USAID-VACS BT Pigeon Pea,0.22493343,0.3936635,0.26550016,0.18481162,0.12538426,0.28444874,0.110984154,0.33997202,0.25482574,0.18113966,0.18456908,0.25946063,0.3073754
M-C0172 Sustainable Intensification of Smallholder Farming Systems (SIFAZ) in Zambia,0.41782808,0.50061417,0.5103199,0.46668988,0.35969698,0.48811466,0.38530722,0.4064556,0.50337607,0.53442556,0.5406175,0.48029235,0.65861607
M-M0369-1000Farms-MaizeSelect,0.2517314,0.51196784,0.24888882,0.19689055,0.14441416,0.2552161,0.14731722,0.49156338,0.33110273,0.16754675,0.22052382,0.21455635,0.36126223
M-V0156-Wheat Disease Early Warning Advisory System (Wheat D,0.2603842,0.3836242,0.2816806,0.29122826,0.22134238,0.35680467,0.1633006,0.42285416,0.28331283,0.23220351,0.21847081,0.20390595,0.45148572
M-R0229-Aflatox - gene editing for reducing aflatoxin in gro,0.2981487,0.308238,0.10817112,0.10931576,0.12695256,0.22323427,0.06440974,0.35670325,0.16040063,0.118971564,0.078838825,0.22486417,0.2082819
M-R0219-Accelerating Genetic Gains in Maize and Wheat for Im,0.38576397,0.66860324,0.39482704,0.38720724,0.21487163,0.44976717,0.38207936,0.5685396,0.478175,0.33487952,0.29998663,0.3593455,0.52840793
M-W0449-Hedwic,0.3145265,0.5499581,0.3958902,0.41064394,0.22812988,0.361973,0.26152393,0.57265407,0.3715179,0.33094808,0.28088507,0.25036526,0.49432305
M-D0002-Accel. Var. improve. & seed deliv. of legum. & cerea,0.27245387,0.49239677,0.31475613,0.22231719,0.16889165,0.30166486,0.22602856,0.3856116,0.31104785,0.240757,0.2679228,0.2687724,0.36720315
M-W0516 W-Shandong Maize and wheat production caused by abiotic an biotic stresses and Global climate chan,0.30057824,0.46459138,0.36942446,0.30852655,0.175412,0.31633246,0.19394222,0.5472685,0.3470796,0.26653758,0.21618989,0.23592952,0.47797167
M-V0179-Intercropping project CROP/2022/111,0.34500447,0.43285096,0.36990592,0.29051226,0.19025956,0.3441373,0.2501589,0.32012704,0.3900691,0.3221999,0.32559305,0.31770274,0.448961
M-S0002-Tracking uptake of validated traits into breeding pr,0.33262253,0.6502026,0.2916523,0.28729597,0.17460862,0.37085932,0.18357971,0.55903834,0.3037926,0.21103741,0.21852215,0.2832447,0.43050152
M-R0208 Gene Editing to Control Maize Lethal Necrosis in Africa for Improved Grain Harvests,0.21991216,0.42063564,0.19100308,0.16342388,0.15661441,0.29747114,0.10308031,0.5122933,0.26136205,0.19399545,0.1715353,0.22239113,0.32703742
M-T0219-Institutionalizing Monitoring of Crop Variety Adopti,0.3891919,0.6256414,0.43018714,0.35520273,0.27998358,0.46613473,0.3131146,0.60235995,0.43132287,0.4226008,0.40020037,0.37164426,0.52871954
M-V0165-ACIAR-ICCCAD,0.35890293,0.36021984,0.49497196,0.52014685,0.3298126,0.51225144,0.38230956,0.36096582,0.46892643,0.5319242,0.47619802,0.48205972,0.5367039
M-R0127-GCDT-LTG Wheat,0.04251636,0.1428835,0.02438238,0.05424439,-0.09390731,0.04952655,0.03122254,0.15509455,0.10271451,0.00842232,-0.051940832,0.04594642,0.12448989
M-V0199-Seg.aliment. y nutric.para comunidades rurales Edo Q,0.18715689,0.1950266,0.15091883,0.07334339,0.080062844,0.18958099,0.10858587,0.16611034,0.19245893,0.13437906,0.12900503,0.22276206,0.2453284
M-W0474-Managing wheat blast in Bangladesh: identification a,0.103156194,0.2544337,0.15121378,0.17378296,0.07345355,0.22416136,0.113786824,0.35678202,0.18961813,0.14610012,0.12816986,0.10869928,0.27287054
M-R0234-Supplementary funding to Varietal Adopt./Haphlotype,0.15172338,0.27845025,0.21071982,0.21782967,0.19572958,0.2699555,0.24173498,0.2740429,0.15772115,0.20255014,0.18844026,0.24849837,0.14856853
M-V0019 Apoyo a la adopción de innovaciones tecnológicas en sistemas de producción sustentable de cebada y c,0.11325205,0.10842465,0.22410023,0.055083252,0.16703486,0.11623334,0.012706194,0.08382007,0.041200545,0.09450017,0.107911095,0.12319957,0.16104273
M-W0505-India Contribution to CIMMYT 2024,0.12509963,0.13628268,0.17196181,0.1415138,0.17587565,0.21345554,0.13354681,0.16968247,0.12798677,0.16850024,0.1175276,0.15715112,0.1924561
M-C0248-RENEWAL: CSISA 4.0 Cereal System Initiative South As,0.4130946,0.42408133,0.34920314,0.24410026,0.19336559,0.42020598,0.23563203,0.34952506,0.26245832,0.32146695,0.27634707,0.32682967,0.42908466
M-W0488-Wheat Future: towards reducing global nitrogen use i,0.19657639,0.32328975,0.18472238,0.16917266,0.055953525,0.18114005,0.09214144,0.30265263,0.25421917,0.1447445,0.09992747,0.13298613,0.34028426
M-W0495-Phase 5: Optimising genetic control of wheat rusts through high value resistan,0.12205093,0.34786716,0.11758056,0.1340376,0.022290017,0.15721181,0.078308105,0.3519935,0.2057307,0.07027006,0.04439444,0.116764225,0.26492646
M-V0093-WAC/2020/148 Transforming Smallholder Food Systems i,0.37483978,0.30411133,0.293324,0.28535524,0.07144431,0.4229096,0.1916778,0.22778411,0.36006173,0.2898073,0.25501665,0.43207505,0.3930632
M-D0005 Green Evolution - Accelerating Dryland Cereals Improvement for Africa,0.36552918,0.45497492,0.30290774,0.24654332,0.13292034,0.34326023,0.15222543,0.37263742,0.36333278,0.28556794,0.2484489,0.27434474,0.38847816
M-W0506-China 2024  Contribution (to be applied in 2025),0.055704184,0.11238384,0.13708805,0.16919693,0.21561815,0.17589286,0.16303287,0.16106227,0.14434193,0.1698081,0.11544885,0.12452643,0.15032375
M-W0101 Agrovegetal-Trigo duro y harinero 4,0.071971975,0.113670014,0.018728247,-0.0043435902,-0.018904293,0.0751966,-0.0070805466,0.0718111,0.10136006,-0.0154183665,-0.018877937,0.119613774,0.067209005
M-C0244-FtF Integrated Pest Management,0.121755324,0.2166996,0.16652997,0.21110946,0.15901913,0.21513785,0.16172929,0.24336417,0.21864465,0.18082616,0.17519055,0.21056798,0.2861558
M-V0183-Accelerating Impact of Agronomy at SCale to deliver,0.21788368,0.30063695,0.33499655,0.23291078,0.26500383,0.21880351,0.2288339,0.3006229,0.35016832,0.30281433,0.36446768,0.2233593,0.35250944
M-V0141 Climate Adaptation and Rural Development (CARD II)/Enhancing Climate Change Adaptive Capacity and Fo,0.30886778,0.36367297,0.35843983,0.50023514,0.17872733,0.4152809,0.36311987,0.2862399,0.49095294,0.42190057,0.32124394,0.36633122,0.4663638
"M-V0081-Abastecimiento Responsable, competitivo y sustentabl",0.35034478,0.21693003,0.21062577,0.13881111,0.08360338,0.24839133,0.13165097,0.16392401,0.19130422,0.12190727,0.1788056,0.3320755,0.25998732
M-V0190-Accel. adoption of climate-resil. Regen. Agricult. P,0.35522807,0.43292075,0.37150106,0.39461824,0.19622268,0.39511248,0.32649317,0.36588362,0.45287955,0.38605338,0.3142366,0.41617203,0.45089233
M-V0161-Plan Maíz Fase II,0.019268071,0.05307068,0.039381467,0.064064175,0.096587256,0.11080321,0.09365133,0.051433332,0.055562805,0.12080886,0.07276146,0.07429198,0.03272398
M-V0164-Zambuko - Conservation Agriculture and Mechanisation,0.15956078,0.25221533,0.21906547,0.1893768,0.109896556,0.26205856,0.1267101,0.24985752,0.33312806,0.21461572,0.18804139,0.2613272,0.39701295
M-C0249-Promoting agro-ecological intensification for resili,0.26387936,0.3523126,0.35942826,0.39319545,0.26084924,0.4254497,0.30908448,0.35221842,0.47728637,0.4064196,0.43318993,0.38417688,0.46840632
M-W0493-Participation Agreement for Supply of Materials-CAIG,0.20745616,0.16674176,0.33407122,0.26756516,0.20436046,0.26049936,0.2099061,0.17029324,0.25347012,0.22661959,0.26097232,0.2756526,0.2351956
M-V0089-DeSIRA: LEG4DEV - Legume-based agroecological intens,0.19980542,0.3519558,0.21581928,0.14607452,0.1623144,0.22878246,0.12796335,0.34662977,0.27669024,0.18735588,0.18338457,0.1834793,0.35559058
M-V0198-Regen.Agric. Data: Evidence base MasAgro’s farmer in,0.25300026,0.39070216,0.3676788,0.2198237,0.24516125,0.32027575,0.20635226,0.3613273,0.34734023,0.30457762,0.3071479,0.28241473,0.3552947
M-E0001-EiB Institutionalizing Monitoring of Crop Variety Ad,0.28502554,0.45347896,0.26571158,0.24252096,0.14730367,0.29166707,0.18280624,0.45780292,0.30592805,0.22636557,0.2195419,0.28238142,0.35971957
M-W0476-Leveraging high-throughput genotyping and phenotypin,0.21869902,0.47354156,0.24517533,0.15960552,0.15946198,0.19601488,0.14997433,0.45706823,0.27405882,0.136244,0.16160457,0.18429407,0.37896395
M-V0163-Assessing Marketing Innovations Impact on Seed Varie,0.28007287,0.48820776,0.27644145,0.14669897,0.17260094,0.22952685,0.13445917,0.32511735,0.22311202,0.17201965,0.27641198,0.24008274,0.279968
M-W0501-Strengthen breeding new wheat varieties and promotio,0.119132206,0.38931623,0.1280377,0.067897536,-0.025463702,0.14122929,0.06716897,0.2781887,0.15642881,0.040334083,0.028034193,0.097678676,0.2568732
M-W0504-Turkey 2024 Contribution to CIMMYT,0.16540872,0.17643218,0.20859312,0.14562784,0.17965578,0.24643397,0.13866988,0.18723921,0.12337826,0.17196976,0.13275853,0.19570625,0.23092908
"M-W0514 Mitigating the threat of Wheat Blast (Magnaporthe oryzae pathotype Triticum) in Zambia, and beyond",0.08183751,0.27508113,0.13312615,0.16614832,0.064366564,0.20879409,0.12851505,0.374839,0.26979375,0.12525727,0.11258708,0.13647322,0.2601495
M-W0496 UOS2301-003RTX - ACRCP Phase 5: Optimising genetic control of wheat rusts through high value resista,0.1598519,0.37332964,0.1628711,0.21119727,0.05294226,0.2176176,0.0994439,0.38365683,0.23418002,0.12780087,0.059851725,0.1355094,0.2787919
M-M0375-Climate Change and Child Malnutrition in Zimbabwe,0.3426913,0.23432468,0.15418129,0.29558975,0.056172974,0.34650126,0.21870635,0.18512139,0.27266017,0.24372771,0.09586602,0.3256824,0.32880917
M-W0461-Identifying New Genetic Sources and Evaluating Unite,0.16307572,0.39548174,0.1584508,0.11846426,0.091662,0.19244874,0.14160214,0.4692847,0.22716688,0.0898075,0.08242177,0.11065039,0.24952921
M-C0257 People's Republic of China (CIMMYT-China Henan or CCH),0.01368493,-0.013521954,0.08111758,0.05519431,0.04132372,0.061283153,0.089627,0.027623823,0.046602152,0.053928033,-0.022913883,0.09157793,0.06691039
M-W0503-Japan 2023 Contribution to CIMMYT,0.12880212,0.112671204,0.16921918,0.12972355,0.13560821,0.18754801,0.10378132,0.16083764,0.10474434,0.16468649,0.10651547,0.1504259,0.17331754
